title,address,num,reviews,rate
Luxury Manila,"Mayor Gil Fernando Avenue corner Dragon Street, San Roque, Marikina City, Metro Manila ","['+63 (2) 8 701 0765', '+63 (2) 8 701 0765']",[],0
Mlabueva Real Estate Ventures,"New Frontier, Mabolo, Cebu City 6000 Cebu ","['+63 (032) 513 2318', '+63 (922) 209 3691', '+63 (032) 513 2318', '+63 (922) 209 3691']",[],0
Propertymart.Ph,"Level 12, Robinsons Summit Center, 6783, Ayala Avenue, Bel-Air, Makati City 1226 Metro Manila ","['+63 (2) 8 736 0356', '+63 (917) 891 1201', '+63 (917) 649 8468', '+63 (2) 8 736 0356', '+63 (917) 891 1201', '+63 (917) 649 8468']",[],0
Green Circle Realty Sales,"902-B, West Tower, Philippine Stock Exchange Centre,  Exchange Road, Ortigas Center, Pasig City 1603 Metro Manila ","['+63 (2) 8 942 1184', '+63 (948) 758 5315', '+63 (2) 8 942 1184', '+63 (948) 758 5315']","['Reliable Agents and affordable Units!', 'Green Circle is one of the best real estate in the Philippines that sells affordable quality homes.']",5.0
Gloria Go Pe Apartment Lessor,"1011 Apacible Street, Ermita, City of Manila, Metro Manila ","['+63 (2) 7 218 7771', '+63 (977) 803 0541', '+63 (2) 7 218 7771', '+63 (977) 803 0541']",[],0
Cherry Mae Cadayona (Independent Real Estate Broker),"Urban Deca Homes Condominium, Tipolo, Mandaue City, Cebu ","['+63 (32) 518 1485', '+63 (927) 461 1521', '+63 (32) 518 1485', '+63 (927) 461 1521']",[],0
Real Estate Buker/Marketing Group,"188 Dr. P.A. Narciso Sr., San Juan City, Metro Manila ","['+63 (2) 8 244 8722', '+63 (2) 8 244 8722']",[],0
Real Estate Brokers Association Of The Philippines,"2/F, Creba Building,  South A Street Corner A. Roces Street, Quezon City 1100 Metro Manila ","['+63 (2) 8 373 2281', '+63 (2) 8 373 2280', '+63 (2) 8 373 2281', '+63 (2) 8 373 2280']",[],0
Active Group,"12/F, ACT  Tower, 135 Sen. Gil Puyat Avenue, Salcedo Village, Makati City 1227 Metro Manila ","['+63 (2) 8 893 7024', '+63 (2) 8 817 7861', '+63 (2) 8 893 7028', '+63 (2) 8 817 7852', '+63 (2) 8 893 7024', '+63 (2) 8 817 7861', '+63 (2) 8 893 7028', '+63 (2) 8 817 7852']",[],0
Teresa Development,"Galo, Bacolod City, Negros Occidental ","['+63 (34) 434 5555', '+63 (34) 434 5555']",[],0
Brokers Circle,"Alphaland Southgate Mall, 2258 Chino Roces Avenue, Makati City 1200 Metro Manila ","['+63 (2) 8 331 7951', '+63 (2) 8 331 7951']",[],0
A. Rubiano,"B 12 L 13 Illionois Street Town, Country Southville, Carmona 4116 Cavite ","['+63 (2) 8 545 2581', '+63 (2) 8 545 2581']",[],0
Pointland Realty Services,"U805, Studio Two Bldg., Dotcom Drive, Nortgate Cyberzone, Filinvest Corporate City, Alabang, Muntinlupa City 1770 Metro Manila ","['+63 (2) 7 504 5888', '+63 (917) 853 5302', '+63 (2) 7 504 5888', '+63 (917) 853 5302']",[],0
Advent Realty,"15th & 16th Floor , TWENTY-FIVE SEVEN MCKINLEY BUILDING ., 7th Ave. , cor. 25th St, BGC, Fort Bonifacio, Taguig City 1630 Metro Manila ","['+63 (906) 485 0900', '+63 (906) 485 0900']",[],0
Luxury Manila,"Mayor Gil Fernando Avenue corner Dragon Street, San Roque, Marikina City, Metro Manila ","['+63 (2) 8 701 0765', '+63 (2) 8 701 0765']",[],0
Mlabueva Real Estate Ventures,"New Frontier, Mabolo, Cebu City 6000 Cebu ","['+63 (032) 513 2318', '+63 (922) 209 3691', '+63 (032) 513 2318', '+63 (922) 209 3691']",[],0
Propertymart.Ph,"Level 12, Robinsons Summit Center, 6783, Ayala Avenue, Bel-Air, Makati City 1226 Metro Manila ","['+63 (2) 8 736 0356', '+63 (917) 891 1201', '+63 (917) 649 8468', '+63 (2) 8 736 0356', '+63 (917) 891 1201', '+63 (917) 649 8468']",[],0
Green Circle Realty Sales,"902-B, West Tower, Philippine Stock Exchange Centre,  Exchange Road, Ortigas Center, Pasig City 1603 Metro Manila ","['+63 (2) 8 942 1184', '+63 (948) 758 5315', '+63 (2) 8 942 1184', '+63 (948) 758 5315']","['Reliable Agents and affordable Units!', 'Green Circle is one of the best real estate in the Philippines that sells affordable quality homes.']",5.0
